Starting gRPC server
cd ../grpc-server/build && ./grpcServer
Order, good,-0.21 ,ASK[BINA], 705.900000, 706.605900, 0.000000, BID[BINA], 705.800000, 705.094200, 0.000000, time,Sat Apr 27 01:23:18 -03 2024
Order, good,-0.26 ,ASK[BINA], 706.200000, 706.906200, 0.000000, BID[BINA], 705.800000, 705.094200, 0.000000, time,Sat Apr 27 01:23:22 -03 2024
Order, good,-0.29 ,ASK[BINA], 706.200000, 706.906200, 0.000000, BID[RIPI], 708.400000, 704.858000, 0.000000, time,Sat Apr 27 01:23:25 -03 2024
Order, good,-0.29 ,ASK[BINA], 706.200000, 706.906200, 0.000000, BID[RIPI], 708.400000, 704.858000, 0.000000, time,Sat Apr 27 01:23:26 -03 2024
Order, good,-0.27 ,ASK[BINA], 706.000000, 706.706000, 0.000000, BID[BINA], 705.500000, 704.794500, 0.000000, time,Sat Apr 27 01:23:29 -03 2024
Order, good,-0.27 ,ASK[BINA], 706.000000, 706.706000, 0.000000, BID[BINA], 705.500000, 704.794500, 0.000000, time,Sat Apr 27 01:23:30 -03 2024
Order, good,-0.27 ,ASK[BINA], 706.000000, 706.706000, 0.000000, BID[BINA], 705.500000, 704.794500, 0.000000, time,Sat Apr 27 01:23:32 -03 2024
Order, good,-0.26 ,ASK[BINA], 706.000000, 706.706000, 0.000000, BID[RIPI], 708.400000, 704.858000, 0.000000, time,Sat Apr 27 01:23:34 -03 2024
Order, good,-0.26 ,ASK[BINA], 706.000000, 706.706000, 0.000000, BID[RIPI], 708.400000, 704.858000, 0.000000, time,Sat Apr 27 01:23:36 -03 2024
Order, good,-0.22 ,ASK[BINA], 705.700000, 706.405700, 0.000000, BID[RIPI], 708.400000, 704.858000, 0.000000, time,Sat Apr 27 01:23:39 -03 2024
Order, good,-0.22 ,ASK[BINA], 705.700000, 706.405700, 0.000000, BID[RIPI], 708.400000, 704.858000, 0.000000, time,Sat Apr 27 01:23:40 -03 2024
Order, good,-0.22 ,ASK[BINA], 705.700000, 706.405700, 0.000000, BID[RIPI], 708.400000, 704.858000, 0.000000, time,Sat Apr 27 01:23:43 -03 2024
Order, good,-0.22 ,ASK[BINA], 705.700000, 706.405700, 0.000000, BID[RIPI], 708.400000, 704.858000, 0.000000, time,Sat Apr 27 01:23:44 -03 2024
Order, good,-0.22 ,ASK[BINA], 705.700000, 706.405700, 0.000000, BID[RIPI], 708.400000, 704.858000, 0.000000, time,Sat Apr 27 01:23:47 -03 2024
Order, good,-0.22 ,ASK[BINA], 705.700000, 706.405700, 0.000000, BID[RIPI], 708.400000, 704.858000, 0.000000, time,Sat Apr 27 01:23:48 -03 2024
